rank,node,score,out_degree,in_degree
1,N738,0.0023233348930307,5,14
2,N576,0.00218673033621004,8,13
3,N199,0.00210240154112481,9,9
4,N422,0.00208277239894701,5,14
5,N290,0.0020743427470233,4,9
6,N427,0.00194597667304071,9,12
7,N530,0.00194037451267636,7,10
8,N871,0.00191619429023894,7,11
9,N518,0.00191440435554324,4,11
10,N849,0.00189126963754843,11,12
11,N711,0.00187794033472496,11,11
12,N420,0.00186955978847528,9,7
13,N371,0.00185894019973491,8,9
14,N941,0.00185705730957812,6,9
15,N412,0.00181001179360496,7,8
16,N9,0.00180383875915452,8,10
17,N836,0.00179800103969493,8,10
18,N999,0.00179110674220991,8,8
19,N822,0.00178538174454781,3,12
20,N288,0.00177409726045524,4,13
21,N541,0.00177180632791359,6,11
22,N646,0.00176254724820701,3,11
23,N768,0.00174392893859906,8,13
24,N381,0.00174381920736211,4,9
25,N306,0.00173481414650609,10,12
26,N966,0.00172443359542865,8,8
27,N461,0.00171576651033492,3,9
28,N919,0.00169654766133248,7,8
29,N33,0.0016957988718325,5,10
30,N208,0.00168994674938945,6,10
31,N794,0.00167753391726687,3,11
32,N878,0.00167354725604565,5,7
33,N865,0.00167316494856758,8,12
34,N823,0.00166807283090563,8,8
35,N979,0.00166314717608968,4,10
36,N713,0.00166297533322865,12,12
37,N405,0.0016604384876969,5,9
38,N221,0.00164979419422087,6,9
39,N534,0.00163251934034076,3,5
40,N536,0.00163175133389014,6,9
41,N149,0.00162918570852166,7,9
42,N719,0.00161254783967187,6,6
43,N121,0.00161233422374431,5,8
44,N52,0.00160972148650252,9,8
45,N817,0.00160544912609635,11,10
46,N246,0.00159593218449058,2,9
47,N66,0.00159338733179203,3,8
48,N327,0.00159294551964001,6,7
49,N224,0.00159180434578938,11,10
50,N42,0.00158602313660703,6,6
51,N657,0.00158530473155642,3,8
52,N760,0.00158430987796834,8,12
53,N432,0.00158264707835524,4,10
54,N418,0.00158159991640562,3,10
55,N27,0.00156797838429048,3,9
56,N299,0.0015671048933956,4,9
57,N923,0.00156671452744327,9,10
58,N771,0.0015657205588933,7,13
59,N377,0.00156023819594637,3,8
60,N918,0.00155012506372369,4,11
61,N556,0.00154177637244526,8,6
62,N346,0.00153894379506799,13,7
63,N978,0.00153849189039765,6,9
64,N857,0.00153364866596004,6,7
65,N656,0.00152969172740062,3,9
66,N927,0.00152968093906897,5,11
67,N382,0.00152963618462293,5,7
68,N491,0.00152772025259206,5,7
69,N67,0.00151818649265501,9,8
70,N465,0.00151539294377583,8,10
71,N268,0.00151287022403489,7,10
72,N624,0.0015105227612015,2,10
73,N32,0.00150961949203171,4,9
74,N889,0.00150658181422082,6,11
75,N2,0.00150480581273157,5,8
76,N38,0.0015044273254951,6,11
77,N69,0.00150215434605337,9,9
78,N696,0.00150205047751977,5,8
79,N222,0.00149736541205146,7,10
80,N14,0.00149628103200459,2,9
81,N286,0.00149310384261138,10,11
82,N525,0.00149036197771311,6,7
83,N470,0.00148521841731835,3,7
84,N219,0.00148500745917368,8,8
85,N730,0.00148191068845015,3,9
86,N28,0.00148120111263876,10,8
87,N457,0.00147385647120523,7,10
88,N585,0.0014730880410296,7,9
89,N885,0.0014709245350139,7,10
90,N802,0.00146943777135151,7,11
91,N391,0.00146630525147513,6,8
92,N157,0.00146103648909152,4,10
93,N65,0.00146062307589143,3,10
94,N720,0.00145911456400412,6,9
95,N801,0.00145905784869959,8,8
96,N272,0.00145089261236151,7,11
97,N856,0.00145004005681783,3,9
98,N558,0.00144224763643906,7,12
99,N96,0.00143930009081901,8,11
