rank,node,score,out_degree,in_degree
1,N738,0.00185854407269051,5,14
2,N576,0.00177865436069562,8,13
3,N422,0.00170352961440809,5,14
4,N199,0.00169100968747726,9,9
5,N530,0.00162890100231248,7,10
6,N290,0.00162879783378553,4,9
7,N871,0.00161914691091711,7,11
8,N518,0.00161369651608089,4,11
9,N427,0.00159096965775483,9,12
10,N849,0.00158390539071867,11,12
11,N9,0.00154055191430264,8,10
12,N711,0.0015386752879648,11,11
13,N288,0.00153075065715096,4,13
14,N420,0.00152863079231894,9,7
15,N412,0.00152627282261268,7,8
16,N646,0.00152189354314818,3,11
17,N822,0.001518290187198,3,12
18,N865,0.00151556643121543,8,12
19,N371,0.00151492698187267,8,9
20,N541,0.00150024317882601,6,11
21,N713,0.0014734664626237,12,12
22,N941,0.00147332746294141,6,9
23,N768,0.00147224940261035,8,13
24,N836,0.00147206632522166,8,10
25,N306,0.00147102362372675,10,12
26,N794,0.00146504172616277,3,11
27,N999,0.00145779401778329,8,8
28,N966,0.00144921987166187,8,8
29,N33,0.00143973017719692,5,10
30,N208,0.00142875570780569,6,10
31,N461,0.00142842397368637,3,9
32,N121,0.00142602073479455,5,8
33,N224,0.00142096907106228,11,10
34,N719,0.00142009572168184,6,6
35,N221,0.00142004126734087,6,9
36,N381,0.00141664659781668,4,9
37,N771,0.00140688218243381,7,13
38,N823,0.00140326036710023,8,8
39,N536,0.00139583690699875,6,9
40,N979,0.0013919730550326,4,10
41,N149,0.00138966476100061,7,9
42,N66,0.00138858388170631,3,8
43,N817,0.00138814570299357,11,10
44,N405,0.00138767727218429,5,9
45,N418,0.00138756674696333,3,10
46,N919,0.00138730784113217,7,8
47,N534,0.00138633648824028,3,5
48,N878,0.00138561290203723,5,7
49,N432,0.00138530628176652,4,10
50,N760,0.00138070268847465,8,12
51,N923,0.00137419268421073,9,10
52,N556,0.00137005635003286,8,6
53,N52,0.00136825991650644,9,8
54,N491,0.00136665334232488,5,7
55,N299,0.0013603300425152,4,9
56,N470,0.0013556964263294,3,7
57,N222,0.00135390310789953,7,10
58,N268,0.00134980367187868,7,10
59,N918,0.00134803723761295,4,11
60,N927,0.00134706907554512,5,11
61,N585,0.00134692654972254,7,9
62,N978,0.00134449989643147,6,9
63,N801,0.00134332714875599,8,8
64,N377,0.00134275075322786,3,8
65,N246,0.00134089039744479,2,9
66,N624,0.00133987338032193,2,10
67,N327,0.00133979593355313,6,7
68,N696,0.00133826767532491,5,8
69,N885,0.00133482855676934,7,10
70,N730,0.00133403968138867,3,9
71,N894,0.00133227117447073,4,9
72,N657,0.00133027506777322,3,8
73,N27,0.00133013838006921,3,9
74,N839,0.00132885283746387,5,10
75,N272,0.0013288421002222,7,11
76,N2,0.00132707082316961,5,8
77,N656,0.00132537583574537,3,9
78,N32,0.00132431965645852,4,9
79,N802,0.0013232155086914,7,11
80,N862,0.0013212822669228,6,9
81,N38,0.00132117402407588,6,11
82,N465,0.00131901956056978,8,10
83,N42,0.00131731535567252,6,6
84,N558,0.00131588237582656,7,12
85,N973,0.00131358058284561,4,11
86,N49,0.00131333500472728,5,11
87,N857,0.0013108080590227,6,7
88,N720,0.0013105972525502,6,9
89,N382,0.00130872892880427,5,7
90,N157,0.00130642554350738,4,10
91,N286,0.0013057764647002,10,11
92,N14,0.00130568500941701,2,9
93,N889,0.0013050492692858,6,11
94,N457,0.00130228673196579,7,10
95,N905,0.00130124460657396,9,9
96,N96,0.00130016717736765,8,11
97,N346,0.00129997457816992,13,7
98,N347,0.00129864475526986,6,12
99,N804,0.00129462049078505,5,8
100,N551,0.00129188372236723,10,12
101,N67,0.00129145652226182,9,8
102,N65,0.00128597712882266,3,10
103,N69,0.00128499779397358,9,9
104,N714,0.00128285623892775,3,9
105,N856,0.00127741841300859,3,9
106,N749,0.00127577498946851,6,9
107,N937,0.00127507942947602,10,8
108,N965,0.00126834786263395,2,10
109,N28,0.00126762848223223,10,8
110,N525,0.00126710629350208,6,7
111,N51,0.00126592696140877,4,9
112,N969,0.00126520910941697,3,9
113,N356,0.00126321160288686,8,8
114,N389,0.00126222825887916,10,9
115,N354,0.00126168580222952,6,9
116,N553,0.00126041832809944,5,8
117,N920,0.00125838929765654,7,9
118,N391,0.00125734439195192,6,8
119,N669,0.00125690268643781,6,9
120,N392,0.0012567257705654,6,9
121,N264,0.00125570605736991,4,8
122,N735,0.00125328870327896,3,9
123,N954,0.00125245582172889,5,7
124,N249,0.00125238371608052,8,9
125,N904,0.00125178553789033,6,7
126,N571,0.00125024914808248,5,9
127,N645,0.00124998054769199,5,7
128,N587,0.00124989301813451,3,8
129,N642,0.00124888309360162,4,9
130,N752,0.00124875455605177,8,9
131,N691,0.00124705568859764,6,8
132,N343,0.00124622172728429,7,9
133,N105,0.00124553246349281,6,8
134,N452,0.00124532294114571,3,7
135,N78,0.00124515482254227,6,8
136,N602,0.00124509535794103,2,9
137,N660,0.00124174207423118,6,9
138,N869,0.00123929513640621,4,10
139,N472,0.0012388260097407,4,9
140,N139,0.00123836606614417,4,9
141,N304,0.00123747821091677,4,10
142,N487,0.00123566582233303,7,7
143,N644,0.00123508768960742,3,10
144,N325,0.00123492181806326,6,9
145,N219,0.00123259165493125,8,8
146,N970,0.00122303693352762,11,6
147,N197,0.00122292169832936,6,7
148,N450,0.001222208998398,4,9
149,N211,0.00122092836746187,3,9
150,N758,0.00121823758407586,6,8
151,N526,0.00121793812402462,5,7
152,N93,0.00121653685107922,3,10
153,N218,0.0012164293947413,5,8
154,N324,0.0012161230682183,6,9
155,N3,0.00121590263013074,7,8
156,N15,0.00121531023054423,6,7
157,N265,0.00121361029454436,7,9
158,N315,0.00121312385602701,8,7
159,N531,0.00121230422676782,4,9
160,N182,0.00121166976814519,5,8
161,N256,0.00121021672201071,14,9
162,N548,0.00120786564365213,9,6
163,N522,0.00120777986775127,7,8
164,N958,0.00120753524312762,6,9
165,N403,0.00120497217080855,4,8
166,N716,0.00120363354406167,6,9
167,N458,0.00120359487321091,9,10
168,N493,0.00119981597831979,4,7
169,N161,0.00119853620194384,2,7
170,N625,0.00119546245000278,3,5
171,N766,0.00119531391817823,8,8
172,N318,0.00119508324974311,4,9
173,N238,0.00119486652964041,4,12
174,N293,0.00119459407680137,8,9
175,N547,0.00119452089750301,3,9
176,N216,0.0011917869752068,10,9
177,N596,0.00119048800474155,8,9
178,N535,0.0011900946236429,5,7
179,N976,0.00118821356487183,9,7
180,N685,0.00118807485212455,5,9
181,N109,0.00118638218759365,6,8
182,N195,0.00118528958125874,8,9
183,N423,0.00118306177210814,7,7
184,N806,0.00118290920296721,8,9
185,N289,0.00118249482523554,2,6
186,N827,0.0011819303761195,6,7
187,N194,0.00118034401482043,8,5
188,N23,0.0011773497480983,3,9
189,N97,0.00117682886977528,5,9
190,N375,0.0011740432130629,6,9
191,N638,0.0011724485847114,5,9
192,N388,0.00117104227456953,4,9
193,N92,0.00117080376933566,8,7
194,N543,0.00116962863618949,3,8
195,N443,0.00116940308501063,4,9
196,N928,0.00116900861778344,3,8
197,N855,0.00116830573419451,4,10
198,N641,0.00116763439903213,5,9
199,N263,0.00116698833975703,6,9
200,N910,0.00116684505096271,5,7
201,N544,0.00116650811464253,7,7
202,N832,0.00116637641630824,7,6
203,N569,0.00116632638354308,7,8
204,N929,0.00116423222025074,4,8
205,N577,0.00116370768797346,5,8
206,N501,0.00116236825608707,10,6
207,N342,0.0011614327606412,5,6
208,N605,0.00116005585057687,7,9
209,N303,0.00115793604505514,6,6
210,N861,0.00115723705141828,3,8
211,N6,0.0011571000779396,4,7
212,N126,0.00115585308506732,5,8
213,N19,0.00115452178457181,7,6
214,N895,0.00115396077883813,7,7
215,N754,0.00115269496227437,6,8
