rank,node,score,out_degree,in_degree
1,N738,0.00251417871877736,5,14
2,N576,0.00235630122676557,8,13
3,N290,0.00228814605089769,4,9
4,N199,0.00227794903597271,9,9
5,N422,0.00224629295857276,5,14
6,N427,0.00209971021286434,9,12
7,N530,0.00206210772081211,7,10
8,N941,0.00204206115944979,6,9
9,N711,0.00203182438013742,11,11
10,N518,0.00203041070991328,4,11
11,N871,0.00202984284055381,7,11
12,N420,0.00202745764096605,9,7
13,N849,0.0020104093576225,11,12
14,N371,0.00200636061784318,8,9
15,N999,0.00195080474321157,8,8
16,N836,0.00194523611506143,8,10
17,N412,0.00193907211447939,7,8
18,N9,0.0019120695903747,8,10
19,N381,0.00190259783242314,4,9
20,N822,0.00189694936821998,3,12
21,N541,0.00188899442388968,6,11
22,N288,0.00187537589432554,4,13
23,N768,0.00186217354796169,8,13
24,N646,0.00185599693242157,3,11
25,N461,0.00185112876656121,3,9
26,N966,0.00184850482492153,8,8
27,N306,0.00184690513913946,10,12
28,N919,0.0018405737129008,7,8
29,N33,0.00181174205563549,5,10
30,N878,0.00180731593740598,5,7
31,N208,0.00180602227346434,6,10
32,N823,0.0017926904062454,8,8
33,N979,0.00178898953089267,4,10
34,N405,0.00178896527300171,5,9
35,N794,0.00176236010662142,3,11
36,N221,0.00174464879233087,6,9
37,N534,0.00173761461908281,3,5
38,N536,0.00173581559905531,6,9
39,N149,0.00173159744764238,7,9
40,N713,0.00172250242942529,12,12
41,N246,0.00172199712487358,2,9
42,N42,0.00171513136848961,6,6
43,N327,0.00171498330718368,6,7
44,N52,0.00171473179037028,9,8
45,N657,0.00170946503205141,3,8
46,N865,0.00170713022030634,8,12
47,N817,0.00169370566123138,11,10
48,N719,0.00169078065312532,6,6
49,N66,0.00168391370532557,3,8
50,N27,0.00167942910445155,3,9
51,N760,0.00167105443150902,8,12
52,N121,0.00166720127777424,5,8
53,N418,0.00165996684332199,3,10
54,N346,0.00165531313806095,13,7
55,N299,0.00165523453568032,4,9
56,N377,0.00165521673326121,3,8
57,N432,0.00165243306006414,4,10
58,N224,0.00165092169153769,11,10
59,N923,0.00164439233576573,9,10
60,N857,0.00163652979920937,6,7
61,N382,0.00163490247625683,5,7
62,N978,0.00163270401699313,6,9
63,N67,0.00163163970508477,9,8
64,N918,0.00162967317619431,4,11
65,N771,0.00162293114643476,7,13
66,N656,0.0016198835110136,3,9
67,N219,0.00161693308985046,8,8
68,N69,0.00160697132499221,9,9
69,N525,0.00160523066407121,6,7
70,N465,0.00160369401782589,8,10
71,N927,0.00159935228396851,5,11
72,N556,0.00159856404486243,8,6
73,N889,0.00159690349903792,6,11
74,N32,0.00159659623390097,4,9
75,N28,0.001585114447018,10,8
76,N624,0.00158195327365114,2,10
77,N491,0.00158191920385316,5,7
78,N38,0.00157950016740892,6,11
79,N14,0.00157949352723439,2,9
80,N2,0.00157919181578896,5,8
81,N286,0.00157231555517732,10,11
82,N268,0.00157185055404173,7,10
83,N696,0.00157004458976337,5,8
84,N391,0.00156689572476056,6,8
85,N457,0.00154528370700483,7,10
86,N222,0.00154372519295578,7,10
87,N65,0.00154121791163834,3,10
88,N730,0.00153368283635756,3,9
89,N157,0.00152388728885642,4,10
90,N856,0.00152216580414205,3,9
91,N802,0.00151921889492571,7,11
92,N885,0.00151882097418335,7,10
93,N720,0.00151732803537372,6,9
94,N197,0.00151716070091785,6,7
95,N470,0.00151388021155756,3,7
96,N585,0.00151300546920054,7,9
97,N602,0.0015045274208467,2,9
98,N265,0.00150284176489498,7,9
99,N714,0.00150130091703718,3,9
100,N356,0.00149931576090942,8,8
101,N354,0.001494128870932,6,9
102,N325,0.00149138118003952,6,9
103,N551,0.00149086419888188,10,12
104,N105,0.00148954244007182,6,8
105,N558,0.00148720620678194,7,12
106,N801,0.0014867277975378,8,8
107,N272,0.00148431207120152,7,11
108,N3,0.00148298380087289,7,8
109,N249,0.00148254353876041,8,9
110,N869,0.0014793548453237,4,10
111,N749,0.00147897090982258,6,9
112,N96,0.00147844338399767,8,11
113,N954,0.00147817620021196,5,7
114,N392,0.00147538802232082,6,9
115,N973,0.00147525648784386,4,11
116,N862,0.00147129250687516,6,9
117,N49,0.00146957682238295,5,11
118,N289,0.00146386520373476,2,6
119,N343,0.00145813996184083,7,9
120,N347,0.0014580319242871,6,12
121,N472,0.00145715697277921,4,9
122,N920,0.00145688327357561,7,9
123,N389,0.00145064717910658,10,9
124,N804,0.00144966205235515,5,8
125,N625,0.00144895178540457,3,5
126,N832,0.00144642199498144,7,6
127,N264,0.00144346997889404,4,8
128,N965,0.00144199776160475,2,10
129,N403,0.00143704460085508,4,8
130,N644,0.00143643995289178,3,10
131,N51,0.00143433909005628,4,9
132,N587,0.0014326690253865,3,8
133,N15,0.00143218844854081,6,7
134,N645,0.0014289849529705,5,7
135,N904,0.00142875768851313,6,7
136,N937,0.00142825897905533,10,8
137,N839,0.0014268710807232,5,10
138,N553,0.00142534913858355,5,8
139,N969,0.00142147847226136,3,9
140,N390,0.00141999021533985,6,8
141,N731,0.001419869359367,8,5
142,N894,0.00141881964765513,4,9
143,N752,0.00141810144673645,8,9
144,N324,0.00141784054311055,6,9
145,N970,0.00141676972737319,11,6
146,N691,0.00141563286795532,6,8
147,N211,0.00141555650477524,3,9
148,N660,0.0014142703688197,6,9
149,N493,0.00141150443234595,4,7
150,N669,0.00140864192983647,6,9
151,N976,0.00140451243441256,9,7
152,N535,0.0013978531958617,5,7
153,N758,0.00139483495435042,6,8
154,N435,0.00139361484873513,5,5
155,N342,0.00139158794593567,5,6
156,N109,0.0013850527230917,6,8
157,N766,0.0013842366020759,8,8
158,N901,0.00138315053481853,6,6
159,N548,0.00138253459970648,9,6
160,N218,0.00138143931035981,5,8
161,N303,0.00138082143108364,6,6
162,N78,0.00137596912651194,6,8
163,N452,0.00137249208909604,3,7
164,N571,0.00137173196895217,5,9
165,N531,0.00137121788373185,4,9
166,N905,0.00136851726603817,9,9
167,N110,0.00136846267778775,11,8
168,N526,0.00136778610822344,5,7
169,N304,0.00136735926268682,4,10
170,N522,0.00136498706154951,7,8
171,N216,0.00136283805680398,10,9
172,N450,0.00135588113512281,4,9
173,N991,0.00135494487818384,5,8
174,N161,0.0013544392112455,2,7
175,N423,0.00135262609592233,7,7
176,N315,0.00135245964984844,8,7
177,N256,0.00135114391894013,14,9
178,N194,0.00134452612810422,8,5
179,N577,0.00134399190819193,5,8
180,N318,0.00134392683452779,4,9
181,N182,0.0013398001929953,5,8
182,N458,0.00133674395259451,9,10
183,N806,0.0013364056824812,8,9
184,N345,0.00133590242381811,6,6
185,N716,0.00132782127384517,6,9
186,N685,0.00132660455181452,5,9
187,N375,0.00132064814441994,6,9
188,N578,0.00132049880686046,7,7
189,N543,0.00131820144479024,3,8
190,N433,0.00131616904383345,3,8
191,N153,0.00131515474673944,6,8
192,N434,0.00131504851180728,2,7
193,N388,0.00131279902716889,4,9
194,N487,0.00131163398479972,7,7
195,N603,0.00131022636238793,10,5
196,N699,0.00130947402200143,9,8
197,N92,0.00130741038880967,8,7
198,N409,0.00130509880489826,8,8
199,N739,0.0013026824827646,8,6
200,N974,0.00130237395654955,8,7
201,N931,0.00130183374101519,10,7
202,N6,0.00130162157755,4,7
203,N547,0.00130139673318358,3,9
204,N750,0.00130116290570478,6,6
205,N928,0.00130105496471911,3,8
206,N591,0.00130097507266442,9,7
