rank,node,score,out_degree,in_degree
1,N7,0.0212778066119106,5,14
2,N71,0.0169459665740102,5,10
3,N57,0.0168282627329465,4,9
4,N21,0.0162066662395487,6,12
5,N8,0.0157852982478623,6,9
6,N91,0.0149745557460869,9,9
7,N76,0.0148450849558538,5,9
8,N63,0.0147744305693272,8,7
9,N30,0.0146076938769255,5,10
10,N1,0.0143067095308365,8,11
11,N10,0.0141632409657424,5,10
12,N84,0.0138269477433201,4,6
13,N77,0.0135926976942798,4,6
14,N70,0.0133896606493606,6,7
15,N58,0.0131046313177326,6,7
16,N4,0.0128950520525026,4,9
17,N67,0.0128650396223286,7,6
18,N56,0.0128031892830129,8,6
19,N66,0.0127988709540842,5,8
20,N31,0.0124330116650831,5,5
21,N52,0.012257799767554,4,6
22,N38,0.0121697450609021,5,7
23,N41,0.0121638661048644,8,7
24,N12,0.0120581195289141,3,8
25,N36,0.0120220777320081,6,6
26,N65,0.0119389593796633,5,7
27,N95,0.0119057905283351,9,8
28,N92,0.0116057497463892,7,6
29,N72,0.0115792086739211,7,5
30,N50,0.0112395515973401,6,6
31,N99,0.0112245259695458,7,7
32,N90,0.0111823597396587,2,6
33,N59,0.0111350478831797,13,5
34,N62,0.0110917718703089,7,6
35,N34,0.0107830640891652,5,7
36,N11,0.0107763372281626,5,7
37,N55,0.0107612960205545,3,6
38,N74,0.0106594943893462,6,7
39,N13,0.0105369367954518,3,4
40,N83,0.0104586652560486,5,7
41,N81,0.0104295206309106,6,7
42,N19,0.010421407698584,6,7
43,N24,0.0104095013955032,6,8
44,N28,0.0103374192561779,8,5
45,N29,0.0102192342308968,5,6
46,N85,0.0101961244582957,6,5
47,N88,0.0101778681620591,9,6
48,N49,0.0101619882740933,3,7
49,N79,0.0101499581127015,7,7
50,N97,0.0100470788725848,5,7
51,N22,0.0100198666746754,3,7
52,N27,0.00989448912131679,2,6
53,N82,0.00987341598583206,10,6
54,N42,0.00986839501226585,5,6
55,N48,0.00985892570632499,6,7
56,N3,0.00962292702935687,6,6
57,N75,0.0095791333924585,4,5
58,N14,0.00957668727769989,5,6
59,N18,0.0095645236047563,7,6
60,N86,0.00929448322125707,6,7
61,N32,0.0092714386626705,6,4
62,N53,0.00922058192277155,6,5
63,N37,0.00917700647944818,3,5
64,N68,0.00895591727249289,10,6
65,N64,0.00895526556106651,8,5
66,N69,0.00867597585116667,6,7
67,N20,0.00843784185209908,9,6
68,N43,0.00843594763064253,6,5
69,N46,0.00831881682483932,8,5
70,N0,0.00819059039028787,6,5
71,N96,0.00816822003070132,8,5
72,N26,0.00814904752110978,4,5
73,N17,0.00809907911536514,4,6
74,N23,0.00796802248421585,13,4
75,N2,0.00790816374372338,8,5
76,N54,0.00789734297997382,4,6
77,N78,0.0078162741089713,6,4
78,N6,0.00774283121776309,6,4
79,N47,0.00765732020391444,7,4
80,N93,0.007594596504462,9,6
81,N33,0.00747312818164316,7,5
82,N5,0.0074131788759526,8,4
83,N80,0.00735430143172252,4,4
84,N89,0.00730063893627012,5,7
85,N25,0.00722154210081613,6,4
86,N9,0.00667455731808974,5,3
87,N51,0.006475266327656,4,4
88,N35,0.00644940732159531,5,4
89,N40,0.00636216614237753,6,4
90,N45,0.00634678851788385,9,5
91,N73,0.00594764759654302,4,4
92,N60,0.0055819556394345,7,4
93,N15,0.00544492346171305,7,4
94,N44,0.00527784846523764,5,4
95,N98,0.00430440265290462,4,2
96,N61,0.00423565931850496,4,3
97,N39,0.00416827557594173,5,2
98,N87,0.0036569608544355,6,2
99,N94,0.00311450168665155,6,2
100,N16,0.00287843672512182,10,2
