source,target
N0,N1
N0,N9
N0,N10
N0,N44
N0,N78
N0,N91
N1,N2
N1,N12
N1,N38
N1,N47
N1,N49
N1,N50
N1,N72
N1,N88
N2,N3
N2,N4
N2,N11
N2,N24
N2,N46
N2,N65
N2,N87
N2,N96
N3,N1
N3,N4
N3,N10
N3,N26
N3,N37
N3,N42
N4,N5
N4,N55
N4,N56
N4,N83
N5,N6
N5,N15
N5,N21
N5,N25
N5,N36
N5,N76
N5,N86
N5,N91
N6,N4
N6,N7
N6,N36
N6,N53
N6,N56
N6,N80
N7,N8
N7,N63
N7,N65
N7,N67
N7,N77
N8,N2
N8,N9
N8,N14
N8,N42
N8,N48
N8,N70
N9,N10
N9,N52
N9,N73
N9,N79
N9,N93
N10,N11
N10,N57
N10,N70
N10,N84
N10,N90
N11,N6
N11,N12
N11,N40
N11,N56
N11,N63
N12,N13
N12,N21
N12,N64
N13,N14
N13,N32
N13,N58
N14,N15
N14,N69
N14,N80
N14,N85
N14,N92
N15,N5
N15,N16
N15,N28
N15,N42
N15,N44
N15,N61
N15,N66
N16,N8
N16,N14
N16,N17
N16,N21
N16,N24
N16,N37
N16,N48
N16,N69
N16,N71
N16,N89
N17,N18
N17,N53
N17,N66
N17,N71
N18,N17
N18,N19
N18,N30
N18,N57
N18,N60
N18,N67
N18,N75
N19,N0
N19,N20
N19,N23
N19,N34
N19,N72
N19,N79
N20,N14
N20,N21
N20,N29
N20,N38
N20,N58
N20,N76
N20,N89
N20,N91
N20,N95
N21,N4
N21,N8
N21,N22
N21,N31
N21,N67
N21,N76
N22,N23
N22,N72
N22,N74
N23,N7
N23,N8
N23,N14
N23,N22
N23,N24
N23,N25
N23,N33
N23,N45
N23,N54
N23,N63
N23,N68
N23,N85
N23,N95
N24,N11
N24,N25
N24,N52
N24,N58
N24,N81
N24,N90
N25,N6
N25,N18
N25,N21
N25,N26
N25,N68
N25,N73
N26,N27
N26,N38
N26,N71
N26,N91
N27,N28
N27,N75
N28,N3
N28,N22
N28,N29
N28,N43
N28,N48
N28,N57
N28,N79
N28,N90
N29,N24
N29,N30
N29,N41
N29,N54
N29,N82
N30,N1
N30,N24
N30,N31
N30,N34
N30,N63
N31,N7
N31,N32
N31,N59
N31,N66
N31,N90
N32,N0
N32,N23
N32,N30
N32,N33
N32,N86
N32,N89
N33,N7
N33,N21
N33,N34
N33,N45
N33,N56
N33,N86
N33,N91
N34,N32
N34,N35
N34,N68
N34,N76
N34,N99
N35,N36
N35,N50
N35,N79
N35,N98
N35,N99
N36,N4
N36,N10
N36,N31
N36,N37
N36,N96
N36,N97
N37,N6
N37,N38
N37,N62
N38,N0
N38,N20
N38,N39
N38,N70
N38,N77
N39,N10
N39,N21
N39,N40
N39,N54
N39,N67
N40,N28
N40,N34
N40,N41
N40,N55
N40,N74
N40,N84
N41,N7
N41,N8
N41,N14
N41,N19
N41,N42
N41,N60
N41,N79
N41,N96
N42,N35
N42,N43
N42,N56
N42,N70
N42,N97
N43,N5
N43,N8
N43,N10
N43,N44
N43,N51
N43,N76
N44,N17
N44,N30
N44,N45
N44,N81
N44,N94
N45,N0
N45,N7
N45,N15
N45,N20
N45,N35
N45,N39
N45,N46
N45,N65
N45,N74
N46,N2
N46,N12
N46,N38
N46,N47
N46,N64
N46,N73
N46,N89
N46,N91
N47,N1
N47,N3
N47,N15
N47,N19
N47,N21
N47,N48
N47,N49
N48,N19
N48,N45
N48,N49
N48,N57
N48,N61
N48,N93
N49,N29
N49,N50
N49,N92
N50,N28
N50,N51
N50,N55
N50,N59
N50,N70
N50,N77
N51,N13
N51,N30
N51,N52
N51,N77
N52,N36
N52,N50
N52,N53
N52,N71
N53,N7
N53,N13
N53,N33
N53,N43
N53,N54
N53,N78
N54,N7
N54,N55
N54,N92
N54,N99
N55,N7
N55,N56
N55,N57
N56,N18
N56,N26
N56,N30
N56,N36
N56,N40
N56,N52
N56,N57
N56,N71
N57,N3
N57,N36
N57,N58
N57,N95
N58,N7
N58,N46
N58,N47
N58,N49
N58,N59
N58,N71
N59,N8
N59,N10
N59,N22
N59,N41
N59,N49
N59,N53
N59,N60
N59,N81
N59,N82
N59,N83
N59,N85
N59,N92
N59,N99
N60,N11
N60,N50
N60,N51
N60,N61
N60,N70
N60,N71
N60,N82
N61,N2
N61,N22
N61,N60
N61,N62
N62,N19
N62,N27
N62,N46
N62,N63
N62,N90
N62,N91
N62,N97
N63,N17
N63,N27
N63,N48
N63,N53
N63,N57
N63,N64
N63,N66
N63,N88
N64,N11
N64,N12
N64,N20
N64,N21
N64,N24
N64,N27
N64,N65
N64,N93
N65,N63
N65,N66
N65,N76
N65,N88
N65,N99
N66,N21
N66,N38
N66,N46
N66,N59
N66,N67
N67,N22
N67,N27
N67,N31
N67,N41
N67,N68
N67,N74
N67,N95
N68,N41
N68,N44
N68,N54
N68,N57
N68,N69
N68,N74
N68,N75
N68,N89
N68,N93
N68,N97
N69,N4
N69,N18
N69,N30
N69,N70
N69,N82
N69,N97
N70,N21
N70,N47
N70,N59
N70,N65
N70,N71
N70,N80
N71,N8
N71,N62
N71,N72
N71,N81
N71,N85
N72,N1
N72,N29
N72,N30
N72,N42
N72,N67
N72,N73
N72,N83
N73,N1
N73,N30
N73,N74
N73,N76
N74,N8
N74,N10
N74,N11
N74,N51
N74,N55
N74,N75
N75,N10
N75,N41
N75,N71
N75,N76
N76,N12
N76,N52
N76,N57
N76,N77
N76,N82
N77,N31
N77,N37
N77,N52
N77,N78
N78,N7
N78,N68
N78,N69
N78,N76
N78,N79
N78,N91
N79,N0
N79,N27
N79,N34
N79,N69
N79,N74
N79,N80
N79,N86
N80,N48
N80,N81
N80,N83
N80,N88
N81,N7
N81,N19
N81,N28
N81,N37
N81,N82
N81,N88
N82,N1
N82,N23
N82,N32
N82,N35
N82,N55
N82,N58
N82,N69
N82,N83
N82,N89
N82,N95
N83,N9
N83,N26
N83,N62
N83,N84
N83,N92
N84,N13
N84,N25
N84,N41
N84,N85
N85,N43
N85,N63
N85,N66
N85,N79
N85,N86
N85,N99
N86,N5
N86,N17
N86,N18
N86,N19
N86,N71
N86,N87
N87,N12
N87,N58
N87,N62
N87,N66
N87,N81
N87,N88
N88,N1
N88,N3
N88,N38
N88,N40
N88,N50
N88,N78
N88,N89
N88,N95
N88,N97
N89,N1
N89,N66
N89,N83
N89,N86
N89,N90
N90,N84
N90,N91
N91,N11
N91,N12
N91,N18
N91,N22
N91,N24
N91,N29
N91,N34
N91,N58
N91,N92
N92,N7
N92,N17
N92,N42
N92,N43
N92,N65
N92,N68
N92,N93
N93,N1
N93,N3
N93,N4
N93,N16
N93,N20
N93,N24
N93,N48
N93,N64
N93,N94
N94,N1
N94,N4
N94,N75
N94,N83
N94,N93
N94,N95
N95,N10
N95,N20
N95,N26
N95,N29
N95,N33
N95,N45
N95,N65
N95,N84
N95,N96
N96,N2
N96,N21
N96,N34
N96,N49
N96,N64
N96,N81
N96,N86
N96,N97
N97,N4
N97,N33
N97,N95
N97,N96
N97,N98
N98,N12
N98,N62
N98,N77
N98,N99
N99,N7
N99,N30
N99,N49
N99,N54
N99,N69
N99,N72
N99,N84
