source,target
N0,N1
N0,N2264
N0,N3902
N1,N2
N1,N861
N1,N999
N1,N1988
N1,N3411
N1,N3971
N2,N3
N2,N751
N2,N2264
N2,N3130
N2,N4173
N2,N4863
N3,N4
N3,N109
N3,N2023
N3,N2270
N4,N5
N4,N69
N4,N315
N4,N608
N4,N2019
N4,N2242
N4,N2309
N4,N2883
N4,N3181
N5,N6
N5,N648
N5,N1589
N5,N1791
N5,N2593
N5,N3239
N5,N3763
N5,N4619
N6,N7
N6,N2299
N6,N2404
N6,N2940
N6,N4480
N6,N4828
N7,N8
N7,N500
N7,N1453
N7,N1614
N7,N2295
N7,N3146
N8,N9
N8,N1135
N8,N1854
N8,N2640
N8,N3666
N8,N3855
N8,N4853
N9,N10
N9,N2888
N9,N3014
N9,N3973
N9,N4383
N10,N11
N10,N509
N11,N12
N11,N2453
N11,N2476
N11,N3219
N11,N3332
N11,N3690
N11,N4633
N12,N13
N12,N1759
N12,N1940
N12,N2308
N12,N2496
N12,N3278
N12,N4357
N13,N14
N13,N253
N13,N1619
N13,N1821
N13,N3885
N13,N4007
N13,N4017
N13,N4985
N14,N15
N14,N828
N14,N1104
N14,N1138
N14,N4813
N15,N16
N15,N1256
N15,N1264
N15,N2278
N15,N2316
N16,N17
N16,N129
N16,N513
N16,N1463
N16,N3195
N16,N4208
N17,N18
N17,N1377
N17,N2999
N17,N3157
N17,N4968
N18,N19
N18,N153
N18,N1053
N18,N1957
N18,N2449
N19,N20
N19,N3316
N20,N21
N20,N533
N20,N800
N20,N2735
N20,N3795
N20,N4471
N21,N22
N21,N2214
N21,N2658
N21,N2707
N21,N2988
N21,N4617
N21,N4725
N22,N23
N22,N36
N22,N964
N22,N1246
N22,N2569
N22,N3264
N22,N3998
N22,N4446
N23,N24
N23,N770
N23,N908
N23,N1796
N23,N3239
N23,N3316
N23,N4734
N24,N25
N24,N217
N24,N1313
N24,N2044
N24,N2660
N24,N3803
N24,N3923
N24,N4118
N25,N26
N25,N745
N25,N1337
N25,N1593
N25,N2268
N25,N4567
N26,N27
N26,N434
N26,N1168
N26,N1606
N26,N1833
N26,N2450
N26,N2583
N26,N4474
N26,N4963
N27,N28
N27,N116
N27,N4573
N28,N20
N28,N29
N28,N364
N28,N684
N28,N1406
N28,N1866
N28,N2164
N28,N2553
N28,N3152
N28,N3428
N28,N3498
N28,N4194
N28,N4230
N28,N4526
N29,N30
N29,N2091
N30,N31
N30,N1355
N30,N2502
N30,N3518
N30,N4704
N31,N32
N31,N1094
N31,N1231
N31,N1843
N31,N2068
N31,N2772
N31,N3372
N31,N3551
N31,N4528
N32,N33
N32,N1603
N32,N2357
N32,N3387
N32,N4222
N32,N4381
N33,N34
N33,N561
N33,N2339
N33,N2501
N33,N3202
N34,N35
N34,N2404
N34,N2714
N34,N2942
N34,N3460
N34,N4233
N34,N4273
N35,N36
N35,N185
N35,N1312
N35,N1414
N35,N1420
N35,N2603
N35,N3039
N36,N37
N36,N4229
N37,N38
N37,N1416
N37,N4287
N38,N39
N38,N475
N38,N1498
N38,N1636
N38,N1807
N38,N1961
N38,N4086
N38,N4173
N38,N4226
N38,N4447
N38,N4700
N38,N4714
N39,N40
N39,N272
N39,N1548
N39,N4824
N40,N41
N40,N1478
N40,N2011
N40,N2376
N40,N3166
N40,N4906
N41,N42
N41,N226
N41,N1128
N41,N1515
N41,N3081
N41,N3332
N42,N43
N42,N320
N42,N582
N42,N1245
N42,N1528
N42,N4554
N43,N44
N43,N408
N43,N3195
N43,N3476
N43,N3504
N44,N45
N44,N2098
N45,N46
N45,N588
N45,N1354
N45,N3360
N45,N3461
N46,N47
N46,N728
N46,N2558
N46,N3212
N46,N3568
N46,N4424
N47,N48
N47,N65
N47,N2324
N47,N4296
N48,N49
N48,N364
N48,N1010
N48,N3224
N48,N3343
N48,N3438
N48,N4676
N49,N50
N49,N590
N49,N632
N49,N1630
N49,N2419
N49,N3350
N49,N3617
N50,N51
N50,N1715
N50,N3451
N51,N52
N51,N290
N51,N1556
N51,N2881
N51,N3363
N51,N3931
N51,N4269
N52,N53
N52,N410
N52,N712
N52,N2676
N52,N2751
N52,N3651
N52,N3736
N52,N4829
N53,N54
N53,N1429
N53,N1562
N53,N3899
N53,N3931
N54,N55
N54,N483
N54,N1531
N54,N1738
N54,N2682
N54,N3076
N54,N4371
N55,N56
N55,N921
N55,N1144
N55,N1403
N55,N1524
N55,N2977
N55,N3067
N55,N4565
N55,N4586
N56,N57
N56,N434
N56,N932
N56,N1535
N56,N2309
N56,N4343
N56,N4571
N57,N58
N57,N118
N57,N373
N57,N1622
N57,N1944
N57,N2577
N57,N4516
N57,N4832
N58,N59
N58,N1419
N58,N2117
N58,N2711
N58,N3484
N58,N3714
N58,N3723
N58,N4619
N59,N60
N59,N1764
N59,N4265
N59,N4898
N60,N61
N60,N288
N60,N1476
N60,N1728
N61,N62
N61,N1205
N61,N1490
N61,N1838
N61,N2534
N61,N4538
N62,N63
N62,N129
N62,N1316
N62,N2900
N63,N64
N63,N1514
N63,N4593
N64,N65
N64,N1028
N64,N2078
N64,N2451
N64,N3930
N64,N4025
N64,N4742
N65,N66
N65,N1042
N65,N2955
N66,N67
N66,N535
N66,N842
N66,N859
N66,N1354
N66,N1610
N66,N2713
N66,N3619
N66,N3994
N66,N4175
N66,N4383
N67,N68
N67,N220
N67,N354
N67,N1377
N67,N1776
N67,N2391
N67,N2471
N67,N2992
N67,N4845
N68,N4
N68,N69
N68,N1593
N68,N3648
N68,N3685
N68,N4937
N69,N70
N69,N1727
N69,N3280
N69,N3775
N70,N71
N70,N4756
N71,N72
N71,N102
N71,N1185
N71,N1378
N72,N73
N72,N991
N72,N2738
N72,N3127
N72,N3207
N72,N3458
N72,N4206
N72,N4300
N72,N4406
N73,N74
N73,N1842
N73,N1983
N73,N2702
N73,N2882
N73,N3338
N73,N3687
N73,N4155
N74,N75
N74,N94
N74,N209
N74,N754
N74,N2624
N74,N3089
N75,N76
N75,N1291
N75,N1428
N75,N1543
N75,N1740
N75,N2731
N75,N3009
N76,N77
N76,N1153
N76,N2393
N76,N3088
N76,N3688
N76,N4165
N77,N78
N77,N88
N77,N2298
N77,N2429
N77,N2439
N77,N2496
N77,N3132
N77,N4066
N77,N4354
N78,N79
N78,N565
N78,N1678
N78,N1807
N78,N2419
N78,N3040
N78,N4399
N79,N80
N79,N663
N79,N1496
N79,N1518
N79,N3038
N79,N3233
N79,N4428
N79,N4766
N79,N4873
N80,N81
N80,N653
N80,N2423
N80,N3149
N80,N4485
N81,N82
N81,N95
N81,N160
N81,N1799
N81,N1986
N81,N2274
N81,N4506
N82,N83
N82,N826
N82,N858
N82,N1191
N82,N1233
N82,N1612
N82,N2969
N82,N3378
N82,N4523
N83,N84
N83,N606
N83,N2169
N83,N3945
N84,N85
N84,N1666
N84,N1707
N84,N3547
N84,N3801
N85,N86
N85,N383
N85,N780
N85,N821
N85,N1920
N85,N1978
N85,N3340
N85,N3523
N85,N4104
N86,N87
N86,N685
N86,N1227
N86,N2432
N86,N2775
N86,N3321
N87,N88
N87,N1348
N87,N1771
N87,N2041
N87,N2748
N87,N2986
N87,N3430
N87,N4988
N88,N89
N88,N1767
N89,N90
N89,N3236
N89,N4694
N90,N91
N90,N734
N90,N1673
N90,N2021
N91,N92
N91,N129
N91,N1788
N91,N2925
N91,N3035
N92,N93
N92,N1164
N92,N1199
N92,N1528
N92,N2126
N92,N3052
N92,N3901
N93,N94
N93,N139
N93,N3602
N93,N4040
N93,N4319
N93,N4962
N94,N95
N94,N3595
N94,N3680
N95,N96
N95,N639
N95,N1264
N95,N1582
N95,N1967
N95,N4980
N96,N15
N96,N97
N96,N643
N96,N839
N96,N1535
N97,N98
N97,N2213
N97,N4441
N98,N99
N98,N1064
N98,N2596
N98,N3697
N99,N100
N99,N669
N99,N2724
N99,N3140
N99,N3768
N100,N101
N100,N244
N100,N974
N100,N1479
N100,N2146
N100,N2808
N100,N3617
N100,N3896
N100,N4126
N101,N102
N101,N387
N101,N2491
N101,N4456
N101,N4695
N102,N103
N102,N1626
N102,N3714
N102,N4714
N103,N104
N103,N3131
N103,N3600
N104,N105
N104,N398
N104,N483
N104,N727
N104,N2223
N104,N3792
N105,N106
N105,N1664
N105,N2962
N105,N3136
N105,N3931
N105,N4359
N106,N107
N106,N1364
N106,N2080
N106,N2574
N106,N2785
N106,N2853
N106,N4396
N107,N108
N107,N1732
N107,N2521
N107,N2680
N107,N3344
N107,N3613
N107,N3930
N108,N109
N108,N2847
N108,N3158
N108,N3194
N109,N110
N109,N1183
N109,N1275
N109,N2107
N109,N3110
N109,N3939
N109,N4070
N109,N4979
N110,N111
N110,N1138
N110,N2186
N110,N2912
N110,N3355
N111,N112
N111,N449
N111,N712
N111,N1061
N111,N1894
N111,N2469
N111,N2970
N111,N3157
N111,N3440
N111,N4080
N111,N4758
N111,N4978
N112,N113
N112,N3221
N113,N114
N113,N589
N113,N803
N113,N1521
N113,N1649
N113,N1852
N113,N2120
N114,N115
N114,N736
N114,N1340
N114,N2652
N115,N116
N115,N1867
N115,N1930
N115,N2257
N115,N2889
N115,N3818
N116,N117
N116,N1860
N116,N3858
N117,N118
N117,N2126
N117,N3629
N117,N4017
N117,N4800
N118,N119
N118,N170
N118,N1797
N118,N3338
N118,N3344
N118,N3348
N118,N4391
N118,N4515
N119,N120
N119,N512
N119,N1919
N119,N2895
N119,N3190
N119,N3429
N120,N121
N120,N982
N120,N1542
N120,N1807
N120,N2024
N120,N2653
N120,N3791
N120,N4163
N121,N111
N121,N122
N121,N860
N121,N1017
N121,N2306
N121,N2714
N122,N123
N122,N4525
N123,N43
N123,N124
N123,N2562
N123,N3480
N124,N125
N124,N1267
N124,N1626
N124,N1733
N124,N2423
N124,N2774
N124,N3178
N124,N4054
N124,N4069
N124,N4175
N125,N126
N125,N1837
N125,N4002
N125,N4365
N125,N4568
N125,N4802
N126,N94
N126,N127
N126,N4826
N126,N4891
N127,N128
N127,N1935
N127,N2025
N127,N3309
N127,N3647
N128,N129
N128,N3562
N129,N130
N129,N1289
N129,N1325
N129,N1371
N129,N2072
N129,N3179
N129,N3858
N130,N131
N130,N799
N130,N1166
N130,N2125
N130,N2548
N130,N3743
N130,N4218
N131,N132
N131,N327
N131,N1064
N131,N1318
N131,N1383
N131,N2295
N131,N2351
N131,N2842
N132,N133
N132,N463
N132,N1815
N132,N4796
N133,N51
N133,N134
N133,N416
N133,N2393
N133,N3447
N133,N4484
N134,N135
N134,N209
N134,N3818
N134,N3856
N134,N3929
N134,N4035
N134,N4766
N135,N136
N135,N1092
N135,N1145
N135,N1155
N135,N1261
N136,N137
N136,N1064
N136,N1678
N136,N1770
N136,N2393
N136,N2628
N137,N138
N137,N2155
N137,N2556
N137,N3320
N137,N3535
N137,N3582
N137,N3875
N137,N3966
N137,N4224
N137,N4691
N138,N139
N138,N613
N138,N2885
N138,N3528
N138,N3809
N138,N3884
N139,N140
N139,N2474
N139,N4343
N140,N141
N140,N3552
N141,N142
N141,N2873
N141,N3919
N141,N4478
N141,N4594
N142,N143
N142,N668
N142,N760
N142,N1780
N142,N2482
N142,N4218
N142,N4763
N143,N144
N143,N643
N143,N1266
N143,N1545
N143,N3419
N144,N145
N144,N1383
N144,N3037
N144,N3212
N144,N3491
N144,N4528
N145,N146
N145,N2132
N145,N2175
N145,N2727
N145,N2805
N146,N147
N146,N864
N146,N1189
N146,N1429
N146,N2004
N146,N2208
N146,N3619
N146,N3632
N147,N148
N147,N178
N147,N1846
N147,N2894
N147,N3603
N147,N4558
N148,N149
N148,N441
N148,N555
N148,N1369
N148,N1947
N148,N1982
N148,N4547
N149,N150
N149,N1462
N149,N2818
N149,N3825
N149,N3918
N149,N4203
N150,N42
N150,N151
N150,N170
N150,N1544
N150,N2694
N150,N4520
N151,N152
N151,N1046
N151,N2856
N151,N4733
N152,N153
N152,N190
N153,N70
N153,N154
N153,N1063
N153,N1545
N153,N2815
N153,N4660
N154,N37
N154,N155
N154,N1591
N154,N1956
N154,N2207
N154,N3546
N154,N4795
N155,N156
N155,N2337
N155,N3646
N155,N4993
N156,N157
N156,N1854
N157,N158
N157,N209
N157,N267
N157,N2060
N157,N4477
N157,N4792
N158,N159
N158,N1067
N158,N1408
N158,N1497
N158,N1899
N158,N4281
N158,N4754
N159,N160
N159,N1254
N159,N2489
N159,N3200
N160,N161
N160,N599
N160,N1305
N160,N3097
N160,N3193
N161,N162
N161,N361
N161,N555
N161,N2986
N161,N4848
N162,N163
N162,N244
N162,N464
N162,N496
N162,N2318
N162,N3257
N162,N4557
N163,N164
N163,N725
N163,N751
N163,N2858
N163,N3196
N163,N3213
N163,N3376
N163,N3865
N163,N4372
N164,N165
N164,N185
N164,N3526
N164,N3911
N164,N4409
N165,N5
N165,N166
N165,N487
N165,N513
N165,N622
N165,N1003
N165,N1178
N165,N2534
N165,N3170
N165,N3206
N165,N4836
N166,N167
N166,N1071
N166,N1336
N166,N1915
N166,N2197
N166,N2376
N166,N3200
N166,N3799
N166,N4236
N167,N168
N167,N3162
N167,N4888
N168,N169
N168,N2127
N168,N4872
N169,N170
N169,N608
N169,N4866
N170,N171
N170,N742
N170,N2491
N170,N2511
N170,N3164
N170,N3406
N170,N4936
N171,N172
N171,N848
N171,N1464
N171,N1493
N171,N3289
N172,N173
N172,N1707
N172,N3440
N172,N4545
N172,N4937
N173,N174
N173,N482
N173,N2038
N174,N175
N174,N424
N174,N1258
N174,N1442
N174,N1635
N174,N1704
N174,N2301
N174,N4338
N175,N130
N175,N176
N175,N211
N175,N659
N175,N2350
N175,N3298
N175,N4324
N175,N4540
N176,N177
N176,N2399
N176,N3091
